# Benchmark for calculating primes with different lists, 100 times, in mikrosecs.
# size		first		second		third
16		1.05		0.99		0.97
32		2.49		2.69		3.05
64		6.31		7.35		6.73
128		16.74		19.47		17.49
256		51.25		56.09		45.50
512		131.48		174.37		168.36
1024		392.42		473.14		402.90
2048		1237.02		1474.67		1230.47
4096		4084.19		5081.08		4235.66
8192		16073.91		17640.49		13130.94
16384		44117.02		53982.43		44667.73
