# Benchmark for calculating primes with different lists, 100 times, in mikrosecs.
# size		first		second		third
16		7.89		2.63		2.68
32		8.62		7.53		6.08
64		16.05		19.06		12.08
128		16.66		26.01		18.37
256		45.69		62.65		49.87
512		138.81		210.32		139.37
1024		399.64		564.12		402.13
2048		1187.07		1853.19		1203.42
4096		3886.57		6345.92		4222.37
8192		16144.69		26592.78		13317.34
16384		48276.97		78048.08		47244.27
